index,nctid,startdate,startdate_id
1,NCT04452435,21-Jul-20,startdate_1
2,NCT04431908,15-Jun-20,startdate_2
3,NCT04716426,28-Jan-21,startdate_3
4,NCT04392141,1-Apr-20,startdate_4
5,NCT04474496,27-Jul-20,startdate_5
6,NCT04646109,11-May-20,startdate_6
7,NCT04542694,21-May-20,startdate_7
8,NCT04401579,8-May-20,startdate_8
9,NCT04280705,21-Feb-20,startdate_9
10,NCT04332081,6-Apr-20,startdate_10
11,NCT04329923,9-Apr-20,startdate_11
12,NCT04410159,22-Jun-20,startdate_12
13,NCT04335136,30-Apr-20,startdate_13
14,NCT04331366,8-Apr-20,startdate_14
15,NCT04331899,25-Apr-20,startdate_15
16,NCT04292899,6-Mar-20,startdate_16
17,NCT04292730,15-Mar-20,startdate_17
18,NCT04320615,3-Apr-20,startdate_18
19,NCT04401202,21-May-20,startdate_7
20,NCT04435808,14-Apr-20,startdate_19
21,NCT04338074,1-Jun-20,startdate_20
22,NCT04358068,13-May-20,startdate_21
23,NCT04358081,1-May-20,startdate_22
24,NCT04523831,1-Jun-20,startdate_20
25,NCT04599959,26-Oct-20,startdate_23
26,NCT04343092,18-Apr-20,startdate_24
27,NCT04362137,2-May-20,startdate_25
28,NCT04724538,15-Oct-20,startdate_26
29,NCT04674644,16-Oct-20,startdate_27
30,NCT04345653,14-Apr-20,startdate_19
31,NCT04338009,31-Mar-20,startdate_28
32,NCT04342663,10-Apr-20,startdate_29
33,NCT04425850,1-Jun-20,startdate_20
34,NCT04411667,28-Apr-20,startdate_30
35,NCT04698993,12-Feb-21,startdate_31
36,NCT04502056,7-Aug-20,startdate_32
37,NCT04491994,10-Apr-20,startdate_29
38,NCT04728802,1-Feb-21,startdate_33
39,NCT04422561,31-May-20,startdate_34
40,NCT04356937,20-Apr-20,startdate_35
41,NCT04407507,1-Jul-20,startdate_36
42,NCT04390022,31-Jul-20,startdate_37
43,NCT04409886,1-Jun-20,startdate_20
44,NCT04399980,20-May-20,startdate_38
45,NCT04365153,24-Apr-20,startdate_39
46,NCT04491240,20-Jul-20,startdate_40
47,NCT04335552,17-Apr-20,startdate_41
48,NCT04898166,1-Dec-20,startdate_42
49,NCT04475588,1-May-20,startdate_22
50,NCT04343261,10-Apr-20,startdate_29
51,NCT04446429,15-Sep-20,startdate_43
52,NCT04332991,2-Apr-20,startdate_44
53,NCT04385238,15-May-20,startdate_45
54,NCT04370834,28-May-20,startdate_46
55,NCT04323592,23-Mar-20,startdate_47
56,NCT04371419,13-May-20,startdate_21
57,NCT04402970,19-Jun-20,startdate_48
58,NCT04328467,6-Apr-20,startdate_10
59,NCT04728594,15-Jan-21,startdate_49
60,NCT04425863,1-May-20,startdate_22
61,NCT04542226,31-Mar-20,startdate_28
62,NCT04490239,9-Oct-20,startdate_50
63,NCT04327388,28-Mar-20,startdate_51
64,NCT04322396,6-Apr-20,startdate_10
65,NCT04308668,17-Mar-20,startdate_52
66,NCT04340557,27-Mar-20,startdate_53
67,NCT04392219,10-Apr-20,startdate_29
68,NCT04634903,19-Nov-20,startdate_54
69,NCT04160975,20-Dec-19,startdate_55
70,NCT04406194,14-May-20,startdate_56
71,NCT04400682,28-May-20,startdate_46
