startdate,startdate_id
21-Jul-20,startdate_1
15-Jun-20,startdate_2
28-Jan-21,startdate_3
1-Apr-20,startdate_4
27-Jul-20,startdate_5
11-May-20,startdate_6
21-May-20,startdate_7
8-May-20,startdate_8
21-Feb-20,startdate_9
6-Apr-20,startdate_10
9-Apr-20,startdate_11
22-Jun-20,startdate_12
30-Apr-20,startdate_13
8-Apr-20,startdate_14
25-Apr-20,startdate_15
6-Mar-20,startdate_16
15-Mar-20,startdate_17
3-Apr-20,startdate_18
14-Apr-20,startdate_19
1-Jun-20,startdate_20
13-May-20,startdate_21
1-May-20,startdate_22
26-Oct-20,startdate_23
18-Apr-20,startdate_24
2-May-20,startdate_25
15-Oct-20,startdate_26
16-Oct-20,startdate_27
31-Mar-20,startdate_28
10-Apr-20,startdate_29
28-Apr-20,startdate_30
12-Feb-21,startdate_31
7-Aug-20,startdate_32
1-Feb-21,startdate_33
31-May-20,startdate_34
20-Apr-20,startdate_35
1-Jul-20,startdate_36
31-Jul-20,startdate_37
20-May-20,startdate_38
24-Apr-20,startdate_39
20-Jul-20,startdate_40
17-Apr-20,startdate_41
1-Dec-20,startdate_42
15-Sep-20,startdate_43
2-Apr-20,startdate_44
15-May-20,startdate_45
28-May-20,startdate_46
23-Mar-20,startdate_47
19-Jun-20,startdate_48
15-Jan-21,startdate_49
9-Oct-20,startdate_50
28-Mar-20,startdate_51
17-Mar-20,startdate_52
27-Mar-20,startdate_53
19-Nov-20,startdate_54
20-Dec-19,startdate_55
14-May-20,startdate_56
